Département,Slug,Nom_reel,Code_postal,INSEE
1,biziat,Biziat,1290,1046
1,izenave,Izenave,1430,1191
1,belmont-luthezieu,Belmont-Luthézieu,1260,1036
1,arbent,Arbent,1100,1014
1,sutrieu,Sutrieu,1260,1414
1,serrieres-de-briord,Serrières-de-Briord,1470,1403
1,aranc,Aranc,1110,1012
1,chaley,Chaley,1230,1076
1,curciat-dongalon,Curciat-Dongalon,1560,1139
1,loyettes,Loyettes,1360,1224
1,gex,Gex,1170,1173
1,courtes,Courtes,1560,1128
1,bereziat,Béréziat,1340,1040
1,lapeyrouse-01,Lapeyrouse,1330,1207
1,apremont-01,Apremont,1100,1011
1,villieu-loyes-mollon,Villieu-Loyes-Mollon,1800,1450
1,leyment,Leyment,1150,1213
1,etrez,Étrez,1340,1154
2,gercy,Gercy,2140,2341
2,villemontoire,Villemontoire,2210,2804
2,brancourt-le-grand,Brancourt-le-Grand,2110,2112
2,licy-clignon,Licy-Clignon,2810,2428
2,proisy,Proisy,2120,2624
2,chambry-02,Chambry,2000,2157
2,mont-saint-jean-02,Mont-Saint-Jean,2360,2522
2,morgny-en-thierache,Morgny-en-Thiérache,2360,2526
2,mesnil-saint-laurent,Mesnil-Saint-Laurent,2720,2481
2,annois,Annois,2480,2019
2,brunehamel,Brunehamel,2360,2126
2,audignicourt,Audignicourt,2300,2034
2,montigny-sur-crecy,Montigny-sur-Crécy,2270,2517
2,lor,Lor,2190,2440
2,chivres-en-laonnois,Chivres-en-Laonnois,2350,2189
2,saint-gobain,Saint-Gobain,2410,2680
2,ugny-le-gay,Ugny-le-Gay,2300,2754
2,happencourt,Happencourt,2480,2367
2,prouvais,Prouvais,2190,2626
2,azy-sur-marne,Azy-sur-Marne,2400,2042
2,terny-sorny,Terny-Sorny,2880,2739
2,droizy,Droizy,2210,2272
2,pignicourt,Pignicourt,2190,2601
2,moussy-verneuil,Moussy-Verneuil,2160,2531
2,aguilcourt,Aguilcourt,2190,2005
2,montaigu-02,Montaigu,2820,2498
2,moulins-02,Moulins,2160,2530
2,saulchery,Saulchery,2310,2701
2,nanteuil-la-fosse,Nanteuil-la-Fosse,2880,2537
2,guignicourt,Guignicourt,2190,2360
2,bucy-le-long,Bucy-le-Long,2880,2131
2,longpont,Longpont,2600,2438
2,montgobert,Montgobert,2600,2506
2,noircourt,Noircourt,2340,2556
2,rozet-saint-albin,Rozet-Saint-Albin,2210,2662
2,chivy-les-etouvelles,Chivy-lès-Étouvelles,2000,2191
2,chavonne,Chavonne,2370,2176
2,artonges,Artonges,2330,2026
2,oisy-02,Oisy,2450,2569
2,juvigny-02,Juvigny,2880,2398
2,marchais-en-brie,Marchais-en-Brie,2540,2458
2,bouconville-vauclair,Bouconville-Vauclair,2860,2102
2,bouteille,La Bouteille,2140,2109
2,ly-fontaine,Ly-Fontaine,2440,2446
2,logny-les-aubenton,Logny-lès-Aubenton,2500,2435
2,cuirieux,Cuirieux,2350,2248
2,iron,Iron,2510,2386
2,joncourt,Joncourt,2420,2392
2,effry,Effry,2500,2275
2,jumigny,Jumigny,2160,2396
2,chaourse,Chaourse,2340,2160
2,saint-remy-blanzy,Saint-Rémy-Blanzy,2210,2693
2,beaumont-en-beine,Beaumont-en-Beine,2300,2056
2,plessier-huleu,Le Plessier-Huleu,2210,2606
2,estrees-02,Estrées,2420,2291
2,baulne-en-brie,Baulne-en-Brie,2330,2053
2,guivry,Guivry,2300,2362
2,variscourt,Variscourt,2190,2761
2,chatillon-sur-oise,Châtillon-sur-Oise,2240,2170
2,soissons,Soissons,2200,2722
2,bray-saint-christophe,Bray-Saint-Christophe,2480,2117
2,herie-la-vieville,Le Hérie-la-Viéville,2120,2379
2,aubenton,Aubenton,2500,2031
2,braye,Braye,2880,2118
2,brissay-choigny,Brissay-Choigny,2240,2123
2,remaucourt-02,Remaucourt,2100,2637
2,seraucourt-le-grand,Seraucourt-le-Grand,2790,2710
2,berry-au-bac,Berry-au-Bac,2190,2073
2,vivaise,Vivaise,2870,2821
2,proviseux-et-plesnoy,Proviseux-et-Plesnoy,2190,2627
2,caumont-02,Caumont,2300,2145
2,villers-le-sec-02,Villers-le-Sec,2240,2813
2,vichel-nanteuil,Vichel-Nanteuil,2210,2796
2,romery-02,Romery,2120,2654
2,fontaine-les-clercs,Fontaine-lès-Clercs,2680,2320
2,chery-les-pouilly,Chéry-lès-Pouilly,2000,2180
2,pithon,Pithon,2480,2604
2,beaurieux-02,Beaurieux,2160,2058
2,sinceny,Sinceny,2300,2719
2,bouffignereux,Bouffignereux,2160,2104
2,saint-gengoulph,Saint-Gengoulph,2810,2679
2,pargny-les-bois,Pargny-les-Bois,2270,2591
2,montigny-l-allier,Montigny-l'Allier,2810,2512
2,beuvardes,Beuvardes,2130,2083
2,cuissy-et-geny,Cuissy-et-Geny,2160,2252
2,reuilly-sauvigny,Reuilly-Sauvigny,2850,2645
2,vailly-sur-aisne,Vailly-sur-Aisne,2370,2758
2,bievres-02,Bièvres,2860,2088
2,berny-riviere,Berny-Rivière,2290,2071
2,perles,Perles,2160,2597
2,fontenelle-en-brie,Fontenelle-en-Brie,2540,2325
2,neuflieux,Neuflieux,2300,2542
2,sainte-croix-02,Sainte-Croix,2820,2675
2,pargny-la-dhuys,Pargny-la-Dhuys,2330,2590
2,brenelle,Brenelle,2220,2120
2,urvillers,Urvillers,2690,2756
2,laversine,Laversine,2600,2415
2,origny-sainte-benoite,Origny-Sainte-Benoite,2390,2575
2,cuiry-housse,Cuiry-Housse,2220,2249
2,neuville-les-dorengt,La Neuville-lès-Dorengt,2450,2548
2,blanzy-les-fismes,Blanzy-lès-Fismes,2160,2091
2,hargicourt-02,Hargicourt,2420,2370
2,villers-sur-fere,Villers-sur-Fère,2130,2816
2,herie,La Hérie,2500,2378
2,bonnesvalyn,Bonnesvalyn,2400,2099
2,haution,Haution,2140,2377
2,berzy-le-sec,Berzy-le-Sec,2200,2077
2,vallee-au-ble,La Vallée-au-Blé,2140,2759
2,catelet,Le Catelet,2420,2143
2,gizy,Gizy,2350,2346
2,saint-algis,Saint-Algis,2260,2670
2,saint-aubin-02,Saint-Aubin,2300,2671
2,bancigny,Bancigny,2140,2044
2,villeneuve-sur-fere,Villeneuve-sur-Fère,2130,2806
2,fleury-02,Fleury,2600,2316
2,quincy-sous-le-mont,Quincy-sous-le-Mont,2220,2633
2,besny-et-loizy,Besny-et-Loizy,2870,2080
2,chery-les-rozoy,Chéry-lès-Rozoy,2360,2181
2,chauny,Chauny,2300,2173
2,sommette-eaucourt,Sommette-Eaucourt,2480,2726
2,lierval,Lierval,2860,2429
2,chezy-sur-marne,Chézy-sur-Marne,2570,2186
2,oulches-la-vallee-foulon,Oulches-la-Vallée-Foulon,2160,2578
2,anizy-le-chateau,Anizy-le-Château,2320,2018
2,maizy,Maizy,2160,2453
2,fourdrain,Fourdrain,2870,2329
2,nampteuil-sous-muret,Nampteuil-sous-Muret,2200,2536
2,urcel,Urcel,2000,2755
2,louatre,Louâtre,2600,2441
2,barzy-en-thierache,Barzy-en-Thiérache,2170,2050
2,conde-en-brie,Condé-en-Brie,2330,2209
2,dampleux,Dampleux,2600,2259
2,sommelans,Sommelans,2470,2724
2,pontruet,Pontruet,2490,2615
2,oigny-en-valois,Oigny-en-Valois,2600,2568
2,loupeigne,Loupeigne,2130,2442
2,lhuys,Lhuys,2220,2427
2,eparcy,Éparcy,2500,2278
2,chapelle-monthodon,La Chapelle-Monthodon,2330,2161
2,morsain,Morsain,2290,2527
2,jaulgonne,Jaulgonne,2850,2389
2,chermizy-ailles,Chermizy-Ailles,2860,2178
2,becquigny-02,Becquigny,2110,2061
2,festieux,Festieux,2840,2309
2,villers-les-guise,Villers-lès-Guise,2120,2814
2,nampcelles-la-cour,Nampcelles-la-Cour,2140,2535
2,montigny-en-arrouaise,Montigny-en-Arrouaise,2110,2511
2,berrieux,Berrieux,2820,2072
2,chigny,Chigny,2120,2188
2,muret-et-crouttes,Muret-et-Crouttes,2210,2533
2,flavigny-le-grand-et-beaurain,Flavigny-le-Grand-et-Beaurain,2120,2313
2,laon,Laon,2000,2408
2,saint-clement-02,Saint-Clément,2360,2674
2,dercy,Dercy,2270,2261
2,anguilcourt-le-sart,Anguilcourt-le-Sart,2800,2017
2,villers-en-prayeres,Villers-en-Prayères,2160,2811
2,chalandry,Chalandry,2270,2156
2,laval-en-laonnois,Laval-en-Laonnois,2860,2413
2,fressancourt,Fressancourt,2800,2335
2,sourd,Le Sourd,2140,2731
2,fontaine-notre-dame-02,Fontaine-Notre-Dame,2110,2322
2,chery-chartreuve,Chéry-Chartreuve,2220,2179
2,mortefontaine-02,Mortefontaine,2600,2528
2,serain,Serain,2110,2709
2,maast-et-violaine,Maast-et-Violaine,2220,2447
2,neuville-sur-ailette,Neuville-sur-Ailette,2860,2550
2,francilly-selency,Francilly-Selency,2760,2330
2,bezu-le-guery,Bézu-le-Guéry,2310,2084
2,marle,Marle,2250,2468
2,leme-02,Lemé,2140,2416
2,cierges,Cierges,2130,2193
2,craonne,Craonne,2160,2234
2,courtemont-varennes,Courtemont-Varennes,2850,2228
2,pommiers-02,Pommiers,2200,2610
2,gland-02,Gland,2400,2347
